Removed Member From Class: ClassName=maida_2 Member=*1
Removed Member From Class: ClassName=maida_2 Member=C5
Removed Member From Class: ClassName=maida_2 Member=C6
Removed Member From Class: ClassName=maida_2 Member=C7
Removed Member From Class: ClassName=maida_2 Member=C8
Removed Member From Class: ClassName=maida_2 Member=D3
Removed Member From Class: ClassName=maida_2 Member=D4
Removed Member From Class: ClassName=maida_2 Member=Q3
Removed Member From Class: ClassName=maida_2 Member=Q4
Removed Member From Class: ClassName=maida_2 Member=R14
Removed Member From Class: ClassName=maida_2 Member=R15
Removed Member From Class: ClassName=maida_2 Member=R16
Removed Member From Class: ClassName=maida_2 Member=R17
Removed Member From Class: ClassName=maida_2 Member=R18
Removed Member From Class: ClassName=maida_2 Member=R19
Removed Member From Class: ClassName=maida_2 Member=R20
Removed Member From Class: ClassName=maida_2 Member=R21
Removed Member From Class: ClassName=maida_2 Member=R22
Removed Member From Class: ClassName=maida_2 Member=R23
Removed Member From Class: ClassName=maida_2 Member=R24
Removed Member From Class: ClassName=maida_2 Member=R25
Removed Member From Class: ClassName=maida_2 Member=R26
Removed Member From Class: ClassName=maida_2 Member=VR2
Change component parameters: Designator = "*1" ("*1"); Footprint = "TO92127P495H495-3"; UniqueID = "\BZMWWWFD\OCNJZRKK" ("\BZMWWWFD\OCNJZRKK")
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "TIP50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "TO-220-3 onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/TIP50/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/TIP50/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "Q4" ("Q4"); Footprint = "TO254P1009X445X1985-3_heatsink"; UniqueID = "\BZMWWWFD\YDAJQVPO" ("\BZMWWWFD\YDAJQVPO")
Change component parameters (AddParameter): Name = "Availability"; Value = "In Stock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Check_prices"; Value = "https://www.snapeda.com/parts/TIP50/Onsemi/view-part/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = "ON Semiconductor"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "TIP50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "TO-220-3 onsemi"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Purchase-URL"; Value = "https://pricing.snapeda.com/search/part/TIP50/?ref=eda"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "SnapEDA_Link"; Value = "https://www.snapeda.com/parts/TIP50/Onsemi/view-part/?ref=snap"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Change component parameters: Designator = "R14" ("R14"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\FFKZMVPM" ("\BZMWWWFD\FFKZMVPM")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R15" ("R15"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\XBQAVESH" ("\BZMWWWFD\XBQAVESH")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R16" ("R16"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\YQGTJPID" ("\BZMWWWFD\YQGTJPID")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "10R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R17" ("R17"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\MRVFMPZB" ("\BZMWWWFD\MRVFMPZB")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1K5"; VariantName = "[No Variations]"
Change component parameters: Designator = "R18" ("R18"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\OSHFBRTZ" ("\BZMWWWFD\OSHFBRTZ")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "1k"; VariantName = "[No Variations]"
Change component parameters: Designator = "R19" ("R19"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\UICGTKYS" ("\BZMWWWFD\UICGTKYS")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "2R7"; VariantName = "[No Variations]"
Change component parameters: Designator = "R20" ("R20"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\DTOSVTAX" ("\BZMWWWFD\DTOSVTAX")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "100R"; VariantName = "[No Variations]"
Change component parameters: Designator = "R21" ("R21"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\DIJRMOWX" ("\BZMWWWFD\DIJRMOWX")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "36K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R22" ("R22"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\XUOGDTQI" ("\BZMWWWFD\XUOGDTQI")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "36K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R23" ("R23"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\KQPSRBRI" ("\BZMWWWFD\KQPSRBRI")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "NC"; VariantName = "[No Variations]"
Change component parameters: Designator = "R24" ("R24"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\CPYBVZCW" ("\BZMWWWFD\CPYBVZCW")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "NC"; VariantName = "[No Variations]"
Change component parameters: Designator = "R25" ("R25"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\IXSARLJQ" ("\BZMWWWFD\IXSARLJQ")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "36K"; VariantName = "[No Variations]"
Change component parameters: Designator = "R26" ("R26"); Footprint = "RES_2W_vertical"; UniqueID = "\BZMWWWFD\BFJCUYJD" ("\BZMWWWFD\BFJCUYJD")
Change component parameters (AddParameter): Name = "Author"; Value = "colombari"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "Supplier link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "N.A."; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Part Number"; Value = "R2W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "36K"; VariantName = "[No Variations]"
Change component parameters: Designator = "VR2" ("VR2"); Footprint = "TO228P991X255-3N"; UniqueID = "\BZMWWWFD\DKXDNELA" ("\BZMWWWFD\DKXDNELA")
Change component parameters (AddParameter): Name = "Availability"; Value = "Unavailable"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ClassName"; Value = "maida_1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MF"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MP"; Value = "LM317AMDT/NOPB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Price"; Value = "None"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = ""; VariantName = "[No Variations]"
Added Class: Name=maida_1
Added Room: Name=maida_1
